ID,label
1,2
2,2
3,2
4,0
5,2
6,2
7,1
8,0
9,1
10,1
11,2
12,2
13,0
14,1
15,2
16,0
17,2
18,0
19,0
20,0
21,0
22,2
23,1
24,0
25,2
26,0
27,0
28,0
29,1
30,0
31,0
32,1
33,2
34,1
35,1
36,1
37,2
38,1
39,2
40,0
41,0
42,0
43,2
44,1
45,1
46,2
47,2
48,2
49,1
50,0
51,1
52,0
53,1
54,0
55,0
56,0
57,1
58,1
59,2
60,0
61,0
62,0
63,1
64,2
65,1
66,2
67,2
68,0
69,0
70,1
71,1
72,2
73,1
74,0
75,0
76,0
77,1
78,2
79,0
80,1
81,1
82,1
83,2
84,0
85,1
86,1
87,0
88,0
89,1
90,2
91,2
92,0
93,2
94,0
95,1
96,0
97,1
98,0
99,2
100,1
101,1
102,1
103,2
104,0
105,1
106,0
107,2
108,1
109,0
110,0
111,0
112,1
113,2
114,1
115,0
116,0
117,1
118,1
119,2
120,2
121,1
122,2
123,0
124,2
125,0
126,0
127,0
128,0
129,0
130,0
131,2
132,2
133,1
134,1
135,1
136,2
137,0
138,2
139,0
140,2
141,1
142,1
143,2
144,0
145,1
146,0
147,0
148,2
149,0
150,0
151,2
152,1
153,2
154,0
155,0
156,0
157,1
158,2
159,0
160,1
161,2
162,2
163,0
164,1
165,0
166,0
167,2
168,2
169,0
170,0
171,2
172,1
173,1
174,0
175,2
176,0
177,2
178,0
179,0
180,0
181,0
182,2
183,1
184,2
185,2
186,0
187,2
188,0
189,0
190,0
191,1
192,1
193,1
194,0
195,0
196,1
197,0
198,2
199,0
200,2
201,0
202,2
203,1
204,2
205,1
206,1
207,1
208,0
209,0
210,0
211,1
212,2
213,1
214,1
215,1
216,1
217,0
218,2
219,2
220,0
221,1
222,2
223,1
224,2
225,2
226,2
227,0
228,2
229,0
230,0
231,0
232,0
233,2
234,1
235,1
236,2
237,1
238,1
239,1
240,2
241,1
242,1
243,0
244,2
245,1
246,0
247,2
248,0
249,0
250,1
251,1
252,0
253,1
254,0
255,1
256,1
257,2
258,2
259,1
260,0
261,2
262,0
263,0
264,2
265,2
266,2
267,2
268,1
